Timestamp,EE (System)
Mon 0,0.0
Mon 0.97,863185.414
Mon 1.94,581758.5167
Mon 3.08,723238.2152
Mon 4.05,581758.5167
Mon 5.03,1001624.8788
Mon 6.04,3260550.0313
Mon 6.99,11328659.1286
Mon 7.95,15452013.3722
Mon 9.06,13466666.8013
Mon 10.01,9944411.9454
Mon 10.81,9944411.9454
Mon 12.08,9153387.7789
Mon 13.03,9342564.0563
Mon 13.98,9216772.3641
Mon 15.1,10229783.5911
Mon 16.05,11377353.9289
Mon 17,13985698.2671
Mon 17.96,14616304.7803
Mon 19.07,12902820.7185
Mon 20.02,9466200.9296
Mon 20.98,7997262.6512
Mon 22.09,5897337.6885
Mon 23.05,2057558.1312
Tue 0,1274077.0299
Tue 0.98,1001624.8788
Tue 1.96,1138580.8447
Tue 3.1,1138580.8447
Tue 4.08,863185.414
Tue 5.06,863185.414
Tue 6.04,3145572.5359
Tue 7.02,11180682.7663
Tue 8,15294420.4255
Tue 8.98,12980896.6748
Tue 10.12,10396549.3437
Tue 11.1,8960129.5993
Tue 11.92,8828655.3711
Tue 13.06,9153387.7789
Tue 14.04,9342564.0563
Tue 15.02,10117034.8711
Tue 16,11473448.2305
Tue 16.98,13246897.7719
Tue 17.96,14851116.9636
Tue 18.94,13095977.3245
Tue 20.08,10341340.4337
Tue 21.06,8828655.3711
Tue 22.04,7320409.8387
Tue 23.02,5343331.4902
Wed 0,1138580.8447
Wed 0.97,1138580.8447
Wed 1.95,723238.2152
Wed 2.92,581758.5167
Wed 4.05,344920.5351
Wed 5.02,680965.3452
Wed 6,2307942.7456
Wed 6.97,12245679.4482
Wed 7.95,15452013.3722
Wed 9.08,13573657.3317
Wed 10.05,10173427.7985
Wed 11.03,9153387.7789
Wed 12,8894637.0646
Wed 12.97,9342564.0563
Wed 14.1,9404778.2089
Wed 14.92,9944411.9454
Wed 16.05,11377353.9289
Wed 17.03,13502651.6215
Wed 18,14993223.5477
Wed 18.97,13394098.9751
Wed 20.11,10341340.4337
Wed 21.08,9404778.2089
Wed 22.05,7320409.8387
Wed 23.03,4957230.5264
Thu 0,863185.414
Thu 0.98,581758.5167
Thu 1.96,581758.5167
Thu 3.1,438745.3568
Thu 4.08,438745.3568
Thu 5.06,723238.2152
Thu 6.04,3145572.5359
Thu 7.02,11473448.2305
Thu 8,15373591.6829
Thu 8.98,13573657.3317
Thu 9.96,10505847.393
Thu 11.1,9527523.0801
Thu 12.08,9134098.6577
Thu 13.06,9886062.8459
Thu 14.04,9886062.8459
Thu 15.18,10451383.7308
Thu 16,11377353.9289
Thu 16.97,13502651.6215
Thu 17.96,14937019.5508
Thu 18.94,13394098.9751
Thu 20.08,10173427.7985
Thu 21.06,9089331.6521
Thu 22.04,7475126.3569
Thu 23.02,4858436.8706
Fri 0,1540700.5319
Fri 1,863185.414
Fri 2,863185.414
Fri 3,793401.8166
Fri 4,793401.8166
Fri 5,1260584.3049
Fri 6,4034520.3649
Fri 7,13817083.9725
Fri 8,15554518.5876
Fri 9,12027053.2961
Fri 10,10059893.7463
Fri 11,9279897.0952
Fri 12,9527523.0801
Fri 13,10002354.1652
Fri 14,10559585.4543
Fri 15,11279651.0302
Fri 16,13609055.4018
Fri 17,15049247.7952
Fri 18,14084369.6553
Fri 19,10559585.4543
Fri 20,9153387.7789
Fri 21,8282835.6453
Fri 22,6508170.7166
Fri 23,4658114.0995
Sat 0,1192945.4659
Sat 1,1300978.0102
Sat 2,610186.3374
Sat 3,581758.5167
Sat 4,567521.5287
Sat 5,863185.414
Sat 6,2057558.1312
Sat 7,6676186.0178
Sat 8,8828655.3711
Sat 9,9588406.9059
Sat 10,10059893.7463
Sat 11,10117034.8711
Sat 12,10059893.7463
Sat 13,10059893.7463
Sat 14,10173427.7985
Sat 15,10559585.4543
Sat 16,10666691.4134
Sat 17,10979213.5778
Sat 18,10285753.1505
Sat 19,8960129.5993
Sat 20,8828655.3711
Sat 21,8422503.2889
Sat 22,7320409.8387
Sat 23,5248050.4149
Sun 0,1111292.7647
Sun 1,1260584.3049
Sun 2,680965.3452
Sun 3,510436.092
Sun 4,496121.2945
Sun 5,891004.8049
Sun 6,2245801.1379
Sun 7,5986909.5072
Sun 8,7242107.2111
Sun 9,8560052.8798
Sun 10,8762179.0181
Sun 11,8828655.3711
Sun 12,8560052.8798
Sun 13,9279897.0952
Sun 14,9466200.9296
Sun 15,9466200.9296
Sun 16,9944411.9454
Sun 17,10229783.5911
Sun 18,9624770.2785
Sun 19,8894637.0646
Sun 20,8999031.5333
Sun 21,8422503.2889
Sun 22,6922707.2809
Sun 23,4246367.8692
