Timestamp,EE (System)
Mon 0,0.0
Mon 0.97,1285890.1587
Mon 1.94,868448.3928
Mon 3.08,1078522.476
Mon 4.05,868448.3928
Mon 5.03,1490603.4065
Mon 6.04,4773634.2632
Mon 6.99,14734564.8191
Mon 7.95,15585606.0994
Mon 9.06,15382541.6997
Mon 10.01,13892170.4273
Mon 10.81,13892170.4273
Mon 12.08,12856952.6016
Mon 13.03,13105245.8516
Mon 13.98,12940128.857
Mon 15.1,14263042.2341
Mon 16.05,14794016.0965
Mon 17,15486736.1922
Mon 17.96,15565171.4279
Mon 19.07,15393433.4327
Mon 20.02,13267702.432
Mon 20.98,11323095.6373
Mon 22.09,8473458.1633
Mon 23.05,3038567.9351
Tue 0,1892267.8906
Tue 0.98,1490603.4065
Tue 1.96,1692712.8627
Tue 3.1,1692712.8627
Tue 4.08,1285890.1587
Tue 5.06,1285890.1587
Tue 6.04,4609141.3561
Tue 7.02,14731479.1312
Tue 8,15562001.9103
Tue 8.98,15318282.1238
Tue 10.12,14291769.9128
Tue 11.1,12602045.2344
Tue 11.92,12428540.6046
Tue 13.06,12856952.6016
Tue 14.04,13105245.8516
Tue 15.02,14116410.1291
Tue 16,14911590.2232
Tue 16.98,15455766.5469
Tue 17.96,15524086.386
Tue 18.94,15448358.9195
Tue 20.08,14221060.6748
Tue 21.06,12428540.6046
Tue 22.04,10413870.3319
Tue 23.02,7707517.5889
Wed 0,1692712.8627
Wed 0.97,1692712.8627
Wed 1.95,1078522.476
Wed 2.92,868448.3928
Wed 4.05,515771.9779
Wed 5.02,1015806.8186
Wed 6,3402280.3444
Wed 6.97,15137120.0472
Wed 7.95,15585606.0994
Wed 9.08,15500498.7969
Wed 10.05,14190007.8873
Wed 11.03,12856952.6016
Wed 12,12515655.5206
Wed 12.97,13105245.8516
Wed 14.1,13186802.6587
Wed 14.92,13892170.4273
Wed 16.05,14794016.0965
Wed 17.03,15422171.4823
Wed 18,15530381.7142
Wed 18.97,15459947.4745
Wed 20.11,14221060.6748
Wed 21.08,13186802.6587
Wed 22.05,10413870.3319
Wed 23.03,7170050.747
Thu 0,1285890.1587
Thu 0.98,868448.3928
Thu 1.96,868448.3928
Thu 3.1,655614.5784
Thu 4.08,655614.5784
Thu 5.06,1078522.476
Thu 6.04,4609141.3561
Thu 7.02,14911590.2232
Thu 8,15506710.7544
Thu 8.98,15500498.7969
Thu 9.96,14431602.2783
Thu 11.1,13347953.0794
Thu 12.08,12831505.0835
Thu 13.06,13816252.548
Thu 14.04,13816252.548
Thu 15.18,14361948.4633
Thu 16,14794016.0965
Thu 16.97,15422171.4823
Thu 17.96,15612714.7451
Thu 18.94,15459947.4745
Thu 20.08,14190007.8873
Thu 21.06,12772684.9787
Thu 22.04,10622371.2571
Thu 23.02,7032134.0574
Fri 0,2283905.9542
Fri 1,1285890.1587
Fri 2,1285890.1587
Fri 3,1182541.3381
Fri 4,1182541.3381
Fri 5,1872408.0166
Fri 6,5874014.3243
Fri 7,15456591.6205
Fri 8,15554518.5876
Fri 9,15050665.5231
Fri 10,14042242.4147
Fri 11,13023023.9738
Fri 12,13347953.0794
Fri 13,13967498.0975
Fri 14,14316462.963
Fri 15,14674699.5157
Fri 16,15539460.2565
Fri 17,15587810.6438
Fri 18,15592993.7159
Fri 19,14316462.963
Fri 20,12856952.6016
Fri 21,11704380.1302
Fri 22,9311003.5562
Fri 23,6751881.4517
Sat 0,1772821.6438
Sat 1,1931821.2003
Sat 2,910700.2465
Sat 3,868448.3928
Sat 4,847281.7085
Sat 5,1285890.1587
Sat 6,3038567.9351
Sat 7,9540009.8233
Sat 8,12428540.6046
Sat 9,13427562.3824
Sat 10,14042242.4147
Sat 11,14116410.1291
Sat 12,14042242.4147
Sat 13,14042242.4147
Sat 14,14190007.8873
Sat 15,14316462.963
Sat 16,14451938.939
Sat 17,14662159.7515
Sat 18,14149814.7069
Sat 19,12602045.2344
Sat 20,12428540.6046
Sat 21,11890097.2809
Sat 22,10413870.3319
Sat 23,7575236.7782
Sun 0,1652465.0011
Sun 1,1872408.0166
Sun 2,1015806.8186
Sun 3,762379.8397
Sun 4,741075.3871
Sun 5,1327069.3946
Sun 6,3312175.1584
Sun 7,8596674.6905
Sun 8,10308173.6201
Sun 9,12072643.1676
Sun 10,12340691.3163
Sun 11,12428540.6046
Sun 12,12072643.1676
Sun 13,13023023.9738
Sun 14,13267702.432
Sun 15,13267702.432
Sun 16,13892170.4273
Sun 17,14263042.2341
Sun 18,13475104.6977
Sun 19,12515655.5206
Sun 20,12653216.3253
Sun 21,11890097.2809
Sun 22,9875427.1299
Sun 23,6173024.0917
