Timestamp,RU-Macro-0-0,RU-Macro-0-1,RU-Macro-0-2,RU-Macro-0-3,RU-Macro-0-4,RU-Macro-0-5,RU-Macro-0-6,RU-Macro-0-7,RU-Macro-0-8,RU-Macro-1-0,RU-Macro-1-1,RU-Macro-1-2,RU-Macro-1-3,RU-Macro-1-4,RU-Macro-1-5,RU-Macro-1-6,RU-Macro-1-7,RU-Macro-1-8
Mon 0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
Mon 0.97,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92,204.92
Mon 1.94,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28
Mon 3.08,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6,203.6
Mon 4.05,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28
Mon 5.03,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24,206.24
Mon 6.04,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
Mon 6.99,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58,372.58
Mon 7.95,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72,525.72
Mon 9.06,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91,439.91
Mon 10.01,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26
Mon 10.81,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26,338.26
Mon 12.08,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09,321.09
Mon 13.03,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06,325.06
