Time,Total Power (W)
Mon 0,5316.0
Mon 0.97,5494.86
Mon 1.94,5435.34
Mon 3.08,5465.1
Mon 4.05,5435.34
Mon 5.03,5524.62
Mon 6.04,6061.2
Mon 6.99,9280.74
Mon 7.95,12738.66
Mon 9.06,10801.08
Mon 10.01,8505.78
Mon 10.81,8505.78
Mon 12.08,8118.12
Mon 13.03,8207.58
Mon 13.98,8148.06
Mon 15.1,8654.88
Mon 16.05,9310.5
Mon 17,11248.08
Mon 17.96,11844.48
Mon 19.07,10354.08
Mon 20.02,8267.4
Mon 20.98,7611.3
Mon 22.09,6836.34
Mon 23.05,5763.0
Tue 0,5584.14
Tue 0.98,5524.62
Tue 1.96,5554.38
Tue 3.1,5554.38
Tue 4.08,5494.86
Tue 5.06,5494.86
Tue 6.04,6031.44
Tue 7.02,9191.46
Tue 8,12559.8
Tue 8.98,10413.6
Tue 10.12,8744.16
Tue 11.1,8028.54
Tue 11.92,7969.02
Tue 13.06,8118.12
Tue 14.04,8207.58
Tue 15.02,8595.06
Tue 16,9370.32
Tue 16.98,10622.22
Tue 17.96,12083.04
Tue 18.94,10503.18
Tue 20.08,8714.4
Tue 21.06,7969.02
Tue 22.04,7343.16
Tue 23.02,6657.48
Wed 0,5554.38
Wed 0.97,5554.38
Wed 1.95,5465.1
Wed 2.92,5435.34
Wed 4.05,5385.9
Wed 5.02,5456.1
Wed 6,5822.82
Wed 6.97,9876.84
Wed 7.95,12738.66
Wed 9.08,10890.66
Wed 10.05,8625.12
Wed 11.03,8118.12
Wed 12,7998.78
Wed 12.97,8207.58
Wed 14.1,8237.34
Wed 14.92,8505.78
Wed 16.05,9310.5
Wed 17.03,10830.84
Wed 18,12232.14
Wed 18.97,10741.56
Wed 20.11,8714.4
Wed 21.08,8237.34
Wed 22.05,7343.16
Wed 23.03,6538.14
Thu 0,5494.86
Thu 0.98,5435.34
Thu 1.96,5435.34
Thu 3.1,5405.28
Thu 4.08,5405.28
Thu 5.06,5465.1
Thu 6.04,6031.44
Thu 7.02,9370.32
Thu 8,12649.38
Thu 8.98,10890.66
Thu 9.96,8803.68
Thu 11.1,8297.16
Thu 12.08,8109.3
Thu 13.06,8476.02
Thu 14.04,8476.02
Thu 15.18,8773.92
Thu 16,9310.5
Thu 16.97,10830.84
Thu 17.96,12172.32
Thu 18.94,10741.56
Thu 20.08,8625.12
Thu 21.06,8088.36
Thu 22.04,7402.68
Thu 23.02,6508.38
Fri 0,5643.96
Fri 1,5494.86
Fri 2,5494.86
Fri 3,5479.98
Fri 4,5479.98
Fri 5,5581.2
Fri 6,6270.0
Fri 7,11099.28
Fri 8,12858.0
Fri 9,9727.74
Fri 10,8565.3
Fri 11,8177.82
Fri 12,8297.16
Fri 13,8535.54
Fri 14,8833.74
Fri 15,9250.98
Fri 16,10920.42
Fri 17,12291.66
Fri 18,11337.66
Fri 19,8833.74
Fri 20,8118.12
Fri 21,7730.64
Fri 22,7044.96
Fri 23,6448.86
Sat 0,5566.32
Sat 1,5590.2
Sat 2,5441.22
Sat 3,5435.34
Sat 4,5432.4
Sat 5,5494.86
Sat 6,5763.0
Sat 7,7104.48
Sat 8,7969.02
Sat 9,8326.92
Sat 10,8565.3
Sat 11,8595.06
Sat 12,8565.3
Sat 13,8565.3
Sat 14,8625.12
Sat 15,8833.74
Sat 16,8893.26
Sat 17,9072.12
Sat 18,8684.64
Sat 19,8028.54
Sat 20,7969.02
Sat 21,7790.16
Sat 22,7343.16
Sat 23,6627.72
Sun 0,5548.5
Sun 1,5581.2
Sun 2,5456.1
Sun 3,5420.46
Sun 4,5417.52
Sun 5,5500.74
Sun 6,5807.94
Sun 7,6866.1
Sun 8,7313.4
Sun 9,7849.68
Sun 10,7939.26
Sun 11,7969.02
Sun 12,7849.68
Sun 13,8177.82
Sun 14,8267.4
Sun 15,8267.4
Sun 16,8505.78
Sun 17,8654.88
Sun 18,8344.74
Sun 19,7998.78
Sun 20,8046.54
Sun 21,7790.16
Sun 22,7194.06
Sun 23,6329.52
