Time,Total Power (W)
Mon 0,3546.0
Mon 0.97,3688.56
Mon 1.94,3641.04
Mon 3.08,3664.8
Mon 4.05,3641.04
Mon 5.03,3712.32
Mon 6.04,4140.0
Mon 6.99,7135.49
Mon 7.95,12629.47
Mon 9.06,9455.82
Mon 10.01,6088.68
Mon 10.81,6088.68
Mon 12.08,5779.62
Mon 13.03,5851.08
Mon 13.98,5803.56
Mon 15.1,6207.48
Mon 16.05,7160.25
Mon 17,10157.87
Mon 17.96,11122.43
Mon 19.07,8678.82
Mon 20.02,5898.6
Mon 20.98,5375.7
Mon 22.09,4757.94
Mon 23.05,3902.4
Tue 0,3759.84
Tue 0.98,3712.32
Tue 1.96,3736.08
Tue 3.1,3736.08
Tue 4.08,3688.56
Tue 5.06,3688.56
Tue 6.04,4116.24
Tue 7.02,6976.0
Tue 8,12343.84
Tue 8.98,8824.61
Tue 10.12,6360.94
Tue 11.1,5708.34
Tue 11.92,5660.82
Tue 13.06,5779.62
Tue 14.04,5851.08
Tue 15.02,6159.96
Tue 16,7209.82
Tue 16.98,9104.14
Tue 17.96,11559.24
Tue 18.94,8903.82
Tue 20.08,6336.98
Tue 21.06,5660.82
Tue 22.04,5161.86
Tue 23.02,4615.38
Wed 0,3736.08
Wed 0.97,3736.08
Wed 1.95,3664.8
Wed 2.92,3641.04
Wed 4.05,3601.8
Wed 5.02,3657.6
Wed 6,3949.92
Wed 6.97,7990.2
Wed 7.95,12629.47
Wed 9.08,9536.86
Wed 10.05,6183.72
Wed 11.03,5779.62
Wed 12,5684.58
Wed 12.97,5851.08
Wed 14.1,5874.84
Wed 14.92,6088.68
Wed 16.05,7160.25
Wed 17.03,9482.78
Wed 18,11809.06
Wed 18.97,9306.21
Wed 20.11,6336.98
Wed 21.08,5874.84
Wed 22.05,5161.86
Wed 23.03,4520.34
Thu 0,3688.56
Thu 0.98,3641.04
Thu 1.96,3641.04
Thu 3.1,3617.28
Thu 4.08,3617.28
Thu 5.06,3664.8
Thu 6.04,4116.24
Thu 7.02,7209.82
Thu 8,12540.79
Thu 8.98,9536.86
Thu 9.96,6408.86
Thu 11.1,5922.36
Thu 12.08,5772.6
Thu 13.06,6064.92
Thu 14.04,6064.92
Thu 15.18,6384.9
Thu 16,7160.25
Thu 16.97,9482.78
Thu 17.96,11645.52
Thu 18.94,9306.21
Thu 20.08,6183.72
Thu 21.06,5755.86
Thu 22.04,5209.38
Thu 23.02,4496.58
Fri 0,3807.36
Fri 1,3688.56
Fri 2,3688.56
Fri 3,3676.68
Fri 4,3676.68
Fri 5,3757.5
Fri 6,4306.5
Fri 7,9921.96
Fri 8,12858.0
Fri 9,7773.48
Fri 10,6136.2
Fri 11,5827.32
Fri 12,5922.36
Fri 13,6112.44
Fri 14,6515.62
Fri 15,7110.73
Fri 16,9563.82
Fri 17,11866.98
Fri 18,10240.74
Fri 19,6515.62
Fri 20,5779.62
Fri 21,5470.74
Fri 22,4924.26
Fri 23,4449.06
Sat 0,3745.62
Sat 1,3764.7
Sat 2,3645.72
Sat 3,3641.04
Sat 4,3638.7
Sat 5,3688.56
Sat 6,3902.4
Sat 7,4971.78
Sat 8,5660.82
Sat 9,5946.12
Sat 10,6136.2
Sat 11,6159.96
Sat 12,6136.2
Sat 13,6136.2
Sat 14,6183.72
Sat 15,6515.62
Sat 16,6563.94
Sat 17,6793.32
Sat 18,6313.02
Sat 19,5708.34
Sat 20,5660.82
Sat 21,5518.26
Sat 22,5161.86
Sat 23,4591.62
Sun 0,3731.4
Sun 1,3757.5
Sun 2,3657.6
Sun 3,3629.16
Sun 4,3626.82
Sun 5,3693.24
Sun 6,3938.04
Sun 7,4781.7
Sun 8,5138.1
Sun 9,5565.78
Sun 10,5637.06
Sun 11,5660.82
Sun 12,5565.78
Sun 13,5827.32
Sun 14,5898.6
Sun 15,5898.6
Sun 16,6088.68
Sun 17,6207.48
Sun 18,5960.34
Sun 19,5684.58
Sun 20,5722.74
Sun 21,5518.26
Sun 22,5043.06
Sun 23,4354.02
